Date:;Time;Value;GPGGA;gps_time;lat;N/S;lon;E/O;fix;number_satellites;diution;height;M;geoid_height;M;;*CRC;GPGSA;A;3D_fix;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PDOP;HDOP;VDOP*CRC
07/03/2024;08:55:24;0.72;$GPGGA;115259.0;1.352.349.138;S;4.004.548.290;W;1;10;0.8;199.5;M;-10.0;M;;*7A;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:55:25;0.73;$GPGGA;115300.0;1.352.348.723;S;4.004.546.720;W;1;10;0.8;199.4;M;-10.0;M;;*7B;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:55:26;0.75;$GPGGA;115301.0;1.352.348.268;S;4.004.545.332;W;1;10;0.8;199.5;M;-10.0;M;;*75;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:55:27;0.75;$GPGGA;115302.0;1.352.347.741;S;4.004.543.958;W;1;11;0.8;199.2;M;-10.0;M;;*71;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:28;0.75;$GPGGA;115303.0;1.352.347.177;S;4.004.542.551;W;1;11;0.8;198.8;M;-10.0;M;;*7C;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:29;0.75;$GPGGA;115304.0;1.352.346.584;S;4.004.541.072;W;1;11;0.8;198.7;M;-10.0;M;;*7A;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:30;0.77;$GPGGA;115305.0;1.352.345.902;S;4.004.539.446;W;1;11;0.8;198.8;M;-10.0;M;;*79;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:31;0.74;$GPGGA;115306.0;1.352.345.237;S;4.004.537.761;W;1;11;0.8;199.1;M;-10.0;M;;*77;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.6;0.8;1.4*3D
07/03/2024;08:55:32;0.74;$GPGGA;115307.0;1.352.344.580;S;4.004.535.913;W;1;11;0.8;198.8;M;-10.0;M;;*7D;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.6;0.8;1.4*3D
07/03/2024;08:55:33;0.72;$GPGGA;115308.0;1.352.343.812;S;4.004.533.935;W;1;11;0.8;198.8;M;-10.0;M;;*71;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.6;0.8;1.4*3D
07/03/2024;08:55:34;0.72;$GPGGA;115309.0;1.352.343.150;S;4.004.531.977;W;1;11;0.8;198.8;M;-10.0;M;;*7B;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.6;0.8;1.4*3D
07/03/2024;08:55:35;0.75;$GPGGA;115310.0;1.352.342.608;S;4.004.530.200;W;1;11;0.8;198.8;M;-10.0;M;;*72;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.6;0.8;1.4*3D
07/03/2024;08:55:36;0.74;$GPGGA;115311.0;1.352.342.048;S;4.004.528.501;W;1;10;0.8;199.1;M;-10.0;M;;*77;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:55:37;0.76;$GPGGA;115312.0;1.352.341.633;S;4.004.526.956;W;1;10;0.8;199.6;M;-10.0;M;;*7A;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:55:38;0.73;$GPGGA;115313.0;1.352.341.215;S;4.004.525.525;W;1;10;0.8;199.7;M;-10.0;M;;*71;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:55:39;0.77;$GPGGA;115314.0;1.352.340.687;S;4.004.524.527;W;1;10;0.8;199.8;M;-10.0;M;;*74;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:55:40;0.75;$GPGGA;115315.0;1.352.340.342;S;4.004.523.495;W;1;10;0.8;200.2;M;-10.0;M;;*7F;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:55:41;0.78;$GPGGA;115316.0;1.352.339.912;S;4.004.522.677;W;1;10;0.8;200.8;M;-10.0;M;;*78;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:55:42;0.75;$GPGGA;115317.0;1.352.339.470;S;4.004.521.923;W;1;10;0.9;201.1;M;-10.0;M;;*74;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.9;1.4*37
07/03/2024;08:55:43;0.77;$GPGGA;115318.0;1.352.338.883;S;4.004.521.227;W;1;10;0.8;201.3;M;-10.0;M;;*76;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:55:44;0.73;$GPGGA;115319.0;1.352.338.039;S;4.004.520.669;W;1;10;0.8;201.5;M;-10.0;M;;*77;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:55:45;0.72;$GPGGA;115320.0;1.352.336.822;S;4.004.520.123;W;1;10;0.8;201.8;M;-10.0;M;;*75;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:55:46;0.74;$GPGGA;115321.0;1.352.334.980;S;4.004.520.088;W;1;10;0.8;202.0;M;-10.0;M;;*74;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:55:47;0.76;$GPGGA;115322.0;1.352.333.288;S;4.004.520.237;W;1;10;0.8;202.3;M;-10.0;M;;*76;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
07/03/2024;08:55:48;0.77;$GPGGA;115323.0;1.352.331.379;S;4.004.520.518;W;1;10;0.8;202.3;M;-10.0;M;;*70;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
