ID;Unidade regional;UF;Município;Serviço;N° Fistel;N° da Estacao;Latitude da Estação;Longitude da Estação
173;GR01;SP;Pindamonhangaba;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2031939386;3573770;-22,926111;-45,46361
174;GR01;SP;Pindamonhangaba;Especial de Supervisão e Controle/Terceiros;50416687601;1007184636;-22,92389;-45,463055
175;GR01;SP;Pindamonhangaba;Especial de Supervisão e Controle/Terceiros;50416687601;1007184431;-22,924723;-45,465
176;GR01;SP;Pindamonhangaba;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;50414550234;1003684405;-22,922222;-45,466667
177;GR01;SP;Pindamonhangaba;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;50412479788;1001666299;-22,925278;-45,460278
178;GR01;SP;Pindamonhangaba;Limitado Privado;50442105525;1014539967;-22,8705;-45,48169
179;GR01;SP;Pindamonhangaba;Limitado Privado;2033424456;690775890;-22,944166;-45,468933
180;GR01;SP;Pindamonhangaba;Limitado Privado;50418766738;1015086249;-22,89982;-45,36704
181;GR01;SP;Piracicaba;Radiodifusão Sonora em Onda Média;2008017168;7804652;-22,722279;-47,673695
182;GR01;SP;Piracicaba;Radiodifusão Comunitária;50011465182;631438041;-22,77111;-47,59611
183;GR01;SP;Piracicaba;Radiodifusão Sonora em Onda Média;2008020541;7804970;-22,71;-47,63278
184;GR01;SP;Piracicaba;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2031945351;3573850;-22,728806;-47,647583
185;GR01;SP;Piracicaba;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2031957520;3632377;-22,731167;-47,611946
186;GR01;SP;Piracicaba;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2031945513;3573796;-22,724167;-47,648056
187;GR01;SP;Piracicaba;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;50412850630;1002170483;-22,71095;-47,640835
188;GR01;SP;Piracicaba;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;50416944191;1007219880;-22,723055;-47,65139
189;GR01;SP;Piracicaba;Limitado Privado;50012479004;682660353;-22,741222;-47,63564
190;GR01;SP;Piracicaba;Limitado Privado;50417179405;1014587139;-22,7212;-47,6479
191;GR01;SP;Piracicaba;Limitado Privado;2020378353;689869282;-22,72139;-47,649445
192;GR01;SP;Piracicaba;Limitado Privado;50012479004;698539559;-22,74875;-47,63708
193;GR01;SP;Planalto;Radiodifusão Comunitária;50404967531;690951345;-21,034445;-49,930832
194;GR01;SP;Planalto;Retransmissão de Radiodifusão de Sons e Imagens - Digital;50409682802;1000275709;-21,034445;-49,929165
195;GR01;SP;Planalto;Limitado Privado;2030098353;682801143;-21,035278;-49,92861
196;GR01;SP;Planalto;Limitado Privado;50403450381;1003896941;-21,033619;-49,93003
197;GR01;SP;Planalto;Limitado Privado;50403450381;1003893462;-21,033743;-49,929943
198;GR01;SP;Ribeirão Preto;Radiodifusão Comunitária;50012128716;671036319;-21,268333;-47,819168
199;GR01;SP;Ribeirão Preto;Radiodifusão Sonora em Freqüência Modulada;2008001326;7803141;-21,166666;-47,85
200;GR01;SP;Ribeirão Preto;Radiodifusão Sonora em Onda Média;2008032043;7806086;-21,213333;-47,7725
201;GR01;SP;Ribeirão Preto;Radiodifusão Sonora em Onda Média;2008032124;7806094;-21,199167;-47,856667
202;GR01;SP;Ribeirão Preto;Radiodifusão Comunitária;50013652443;683757610;-21,151667;-47,799446
203;GR01;SP;Ribeirão Preto;Radiodifusão Sonora em Onda Média;2008007952;7803737;-21,204166;-47,754723
204;GR01;SP;Ribeirão Preto;SERVIÇO MOVEL PESSOAL;50010613854;682916846;-21,21333;-47,81639
205;GR01;SP;Ribeirão Preto;Serviço de Radiotáxi Especializado;50412292289;687372739;-21,198055;-47,807777
206;GR01;SP;Ribeirão Preto;SERVIÇO LIMITADO PRIVADO DE RADIOCHAMADA-SLPR;50400121603;684617005;-21,1875;-47,808334
207;GR01;SP;Ribeirão Preto;Limitado Privado - Prestação a terceiros;50418265011;1014797478;-21,192343;-47,778736
208;GR01;SP;Ribeirão Preto;AUXILIAR RADIODIF.- REPORTAGEM EXTERNA;2031963171;3570223;-21,183332;-47,816666
209;GR01;SP;Ribeirão Preto;Especial de Supervisão e Controle/Terceiros;50411536206;1000328772;-21,203669;-47,774433
210;GR01;SP;Ribeirão Preto;Especial de Supervisão e Controle/Terceiros;50411536206;1000328934;-21,177725;-47,797993
211;GR01;SP;Ribeirão Preto;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2031939629;3574350;-21,184834;-47,812443
212;GR01;SP;Ribeirão Preto;Limitado Privado - Prestação a terceiros;50446211885;1015470898;-21,111666;-47,794445
213;GR01;SP;Ribeirão Preto;Limitado Privado - Prestação a terceiros;50419070567;1014403984;-21,1925;-47,811943
214;GR01;SP;Ribeirão Preto;Especial de Supervisão e Controle/Terceiros;50411536206;1000328810;-21,180408;-47,78837
215;GR01;SP;Ribeirão Preto;Especial de Supervisão e Controle/Terceiros;50411536206;1000328829;-21,180227;-47,788223
216;GR01;SP;Ribeirão Preto;AUXILIAR RADIODIF.- REPORTAGEM EXTERNA;2022638000;555169;-21,178333;-47,794167
217;GR01;SP;Ribeirão Preto;Especial de Supervisão e Controle/Terceiros;50411536206;1000328845;-21,159721;-47,800648
218;GR01;SP;Ribeirão Preto;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2022624211;379962233;-21,184723;-47,786667
219;GR01;SP;Ribeirão Preto;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2031962523;5770;-21,184694;-47,79586
220;GR01;SP;Ribeirão Preto;Especial de Supervisão e Controle/Terceiros;50411536206;1000328861;-21,201702;-47,80068
221;GR01;SP;Ribeirão Preto;Especial de Supervisão e Controle/Terceiros;50411536206;1000328896;-21,20163;-47,80071
222;GR01;SP;Ribeirão Preto;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;50401804704;686128923;-21,168612;-47,86111
223;GR01;SP;Ribeirão Preto;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2031637371;3550370;-21,135973;-47,819084
224;GR01;SP;Ribeirão Preto;ESPECIAL DE REPETICAO DE TELEVISAO;11030261601;3569020;-21,155556;-47,822224
225;GR01;SP;Ribeirão Preto;Limitado Privado;50416656994;1007140809;-21,162373;-47,853035
226;GR01;SP;Ribeirão Preto;Limitado Privado;50417425295;1015239800;-21,16225;-47,853058
227;GR01;SP;Ribeirão Preto;Limitado Privado;2030385760;1000480116;-21,2125;-47,817223
228;GR01;SP;Ribeirão Preto;Limitado Privado;50403450381;1015147248;-21,21095;-47,80411
229;GR01;SP;Rio Claro;Radiodifusão Comunitária;50405694326;692459863;-22,365278;-47,645
230;GR01;SP;Rio Claro;Radiodifusão Comunitária;50012964395;683133616;-22,406944;-47,565
231;GR01;SP;Rio Claro;Radiodifusão Comunitária;50407577190;699145589;-22,370277;-47,539722
232;GR01;SP;Rio Claro;Radiodifusão Sonora em Onda Média;50001963848;323691463;-22,4075;-47,595833
233;GR01;SP;Rio Claro;Radiodifusão Sonora em Freqüência Modulada;50401653820;687639425;-22,40639;-47,566666
234;GR01;SP;Rio Claro;Radiodifusão Sonora em Onda Média;2008025853;7805497;-22,441668;-47,55753
235;GR01;SP;Rio Claro;Radiodifusão Sonora em Onda Média;2008019969;7804911;-22,44111;-47,55722
