ID;Unidade regional;UF;Município;Serviço;N° Fistel;N° da Estacao;Latitude da Estação;Longitude da Estação;Data da Medição;Valor Medido (V/m);Latitude do maior valor Medido;Longitude do maior valor Medido;N° de Medidas acima de 14 V/M;Justificativa (apenas para estações sem medições);Observações;Distância (km)
116;GR01;SP;Itapeva;Limitado Privado;50410802328;699588391;-23,997992;-48,8929;;;;;;;Sem medição, sem justificativa;
117;GR01;SP;Jundiaí;Radiodifusão Sonora em Freqüência Modulada;2030457183;9156380;-23,263334;-46,968334;;;;;;;Sem medição, sem justificativa;
118;GR01;SP;Jundiaí;Radiodifusão Sonora em Freqüência Modulada;2008032477;7806124;-23,268055;-46,96611;;;;;;;Sem medição, sem justificativa;
119;GR01;SP;Jundiaí;Radiodifusão Sonora em Onda Média;2008032396;7806116;-23,169722;-46,931667;;;;;;;Sem medição, sem justificativa;
120;GR01;SP;Jundiaí;Radiodifusão Sonora em Onda Média;2008018482;7804784;-23,148056;-46,838055;;;;;;;Sem medição, sem justificativa;
121;GR01;SP;Jundiaí;Radiodifusão Comunitária;50404240356;699263891;-23,194445;-46,86361;;;;;;;Sem medição, sem justificativa;
122;GR01;SP;Jundiaí;Radiodifusão Comunitária;50415985170;1008215462;-23,1875;-46,885277;;;;;;;Sem medição, sem justificativa;
123;GR01;SP;Jundiaí;SERVIÇO MOVEL PESSOAL;50010613854;659051028;-23,1852;-46,8974;;;;;;;Sem medição, sem justificativa;
124;GR01;SP;Jundiaí;SERVIÇO MOVEL PESSOAL;50010613854;688134572;-23,1852;-46,8974;;;;;;;Sem medição, sem justificativa;
125;GR01;SP;Jundiaí;SERVIÇO MOVEL PESSOAL;50409146447;468096;-23,1852;-46,8974;;;;;;;Sem medição, sem justificativa;
126;GR01;SP;Jundiaí;SERVIÇO MOVEL PESSOAL;50409146447;1009578526;-23,1852;-46,8974;;;;;;;Sem medição, sem justificativa;
127;GR01;SP;Jundiaí;SERVIÇO MOVEL PESSOAL;50409105090;403013658;-23,1852;-46,8974;;;;;;;Sem medição, sem justificativa;
128;GR01;SP;Jundiaí;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2031634275;3552870;-23,195833;-46,892166;;;;;;;Sem medição, sem justificativa;
129;GR01;SP;Jundiaí;SERVIÇO SLMP PRESTADO A DETERMINADOS GRUPOS DE USUARIOS;50439501539;1014362749;-23,143667;-46,937374;;;;;;;Sem medição, sem justificativa;
130;GR01;SP;Jundiaí;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2031944894;1001740383;-23,18325;-46,89114;;;;;;;Sem medição, sem justificativa;
131;GR01;SP;Jundiaí;Limitado Privado - Prestação a terceiros;50412251680;1007048457;-23,187687;-46,87575;;;;;;;Sem medição, sem justificativa;
132;GR01;SP;Jundiaí;ESPECIAL DE REPETICAO DE TELEVISAO;50004031261;665676506;-23,186388;-46,884167;;;;;;;Sem medição, sem justificativa;
133;GR01;SP;Jundiaí;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2022648749;396746136;-23,186111;-46,88639;;;;;;;Sem medição, sem justificativa;
134;GR01;SP;Jundiaí;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2022643780;372951;-23,185833;-46,885834;;;;;;;Sem medição, sem justificativa;
135;GR01;SP;Jundiaí;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2022629361;4999010;-23,185;-46,959167;;;;;;;Sem medição, sem justificativa;
